,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[1],/html/body/div[],3,0,0,4109.7998046875,1349.0,1560,2,0,0,0,0,0,0,0,0,False
1,/html/body/div[1]/div[1]/div/div[1],/html/body/div[]/div[]/div/div[],6,0,470,216.0,1349.0,12,1,0,0,0,0,0,0,0,0,False
2,/html/body/div[1]/div[1]/div/div[1]/div,/html/body/div[]/div[]/div/div[]/div,7,0,470,216.0,1349.0,11,1,0,24,0,24,0,0,0,0,False
3,/html/body/div[1]/div[1]/div/div[1]/div/div[1],/html/body/div[]/div[]/div/div[]/div/div[],8,146,506,110.0,88.0,2,2,0,0,0,0,0,0,0,0,False
4,/html/body/div[1]/div[1]/div/div[1]/div/div[1]/div,/html/body/div[]/div[]/div/div[]/div/div[]/div,9,146,506,110.0,88.0,1,2,0,0,110,0,0,0,0,0,False
5,/html/body/div[1]/div[1]/div/div[1]/div/div[2],/html/body/div[]/div[]/div/div[]/div/div[],8,258,494,156.0,557.0,4,1,0,0,0,0,24,36,36,24,False
6,/html/body/div[1]/div[1]/div/div[1]/div/div[3],/html/body/div[]/div[]/div/div[]/div/div[],8,852,530,96.0,351.0,2,1,0,0,0,0,0,0,0,0,False
7,/html/body/div[1]/div[1]/div/div[2],/html/body/div[]/div[]/div/div[],6,0,0,686.0,1349.0,0,1,0,0,0,0,0,0,0,0,False
8,/html/body/div[1]/div[2],/html/body/div[]/div[],4,0,0,114.0,1349.0,51,1,0,0,0,0,0,0,0,0,False
9,/html/body/div[1]/div[2]/header/div,/html/body/div[]/div[]/header/div,6,84,0,114.0,1180.0,49,1,0,0,0,0,0,0,0,0,False
10,/html/body/div[1]/div[2]/header/div/div[1],/html/body/div[]/div[]/header/div/div[],7,84,0,78.0,1180.0,25,0,0,0,0,0,0,0,0,0,False
11,/html/body/div[1]/div[2]/header/div/div[1]/div,/html/body/div[]/div[]/header/div/div[]/div,8,84,0,78.0,175.8333282470703,4,2,24,0,24,0,0,0,0,0,False
12,/html/body/div[1]/div[3],/html/body/div[]/div[],4,0,114,3995.800048828125,1349.0,1484,1,0,0,0,0,0,0,0,0,False
13,/html/body/div[1]/div[3]/div,/html/body/div[]/div[]/div,5,0,114,3995.800048828125,1349.0,1483,1,0,0,0,0,0,0,0,0,False
14,/html/body/div[1]/div[3]/div/div[1],/html/body/div[]/div[]/div/div[],6,0,114,132.0,1349.0,33,1,0,0,0,0,0,0,0,0,False
15,/html/body/div[1]/div[3]/div/div[1]/div,/html/body/div[]/div[]/div/div[]/div,7,84,114,132.0,1180.0,32,1,0,0,0,0,0,0,0,0,False
16,/html/body/div[1]/div[3]/div/div[1]/div/div,/html/body/div[]/div[]/div/div[]/div/div,8,84,114,132.0,1180.0,31,1,0,0,0,0,0,0,0,0,False
17,/html/body/div[1]/div[3]/div/div[1]/div/div/div,/html/body/div[]/div[]/div/div[]/div/div/div,9,84,114,132.0,1180.0,30,1,0,0,0,0,0,0,0,0,False
18,/html/body/div[1]/div[3]/div/div[1]/div/div/div/div,/html/body/div[]/div[]/div/div[]/div/div/div/div,10,84,114,132.0,1180.0,29,0,0,0,0,0,0,0,0,0,False
19,/html/body/div[1]/div[3]/div/div[1]/div/div/div/div/div,/html/body/div[]/div[]/div/div[]/div/div/div/div/div,11,84,114,132.0,1180.0,28,1,12,12,24,12,0,0,0,0,False
