,xpath,reduced_xpath,dom_tree_level,x_position,y_position,height,width,html_children,html_attributes,padding_top,padding_right,padding_bottom,padding_left,margin_top,margin_right,margin_bottom,margin_left,is_search_result
0,/html/body/div[1],/html/body/div[],3,0,546,140.36666870117188,1349.0,939,8,0,0,18,0,0,0,0,0,False
1,/html/body/div[1]/div[1],/html/body/div[]/div[],4,354,546,122.36666870117188,640.0,36,1,0,8,0,0,0,354.5,0,354.5,False
2,/html/body/div[1]/div[1]/div[2],/html/body/div[]/div[]/div[],5,354,546,86.76666259765625,632.0,4,2,12,0,8,8,0,0,0,0,False
3,/html/body/div[5],/html/body/div[],3,0,0,686.0,1349.0,0,2,0,0,0,0,0,0,0,0,False
4,/html/body/div[6],/html/body/div[],3,0,62,686.0,1349.0,0,2,0,0,0,0,0,0,0,0,False
5,/html/body/header/div/div[2],/html/body/header/div/div[],5,1349,0,686.0,340.0,6,1,0,0,0,0,0,0,0,0,False
6,/html/body/div[8],/html/body/div[],3,0,127,5947.0,1349.0,1775,1,0,0,0,0,0,0,0,0,False
7,/html/body/div[8]/div,/html/body/div[]/div,4,0,127,5947.0,1349.0,1774,1,0,0,0,0,0,0,0,0,False
8,/html/body/div[8]/div/div[1],/html/body/div[]/div/div[],5,0,127,5947.0,269.79998779296875,0,1,0,0,0,0,0,0,0,0,False
9,/html/body/div[8]/div/div[3],/html/body/div[]/div/div[],5,0,127,255.0,337.25,14,2,0,0,0,0,0,0,0,0,False
10,/html/body/div[8]/div/div[3]/div/section/div[2],/html/body/div[]/div/div[]/div/section/div[],8,0,127,255.0,337.25,10,1,0,0,0,0,0,0,0,0,False
11,/html/body/div[8]/div/div[3]/div/section/div[2]/div,/html/body/div[]/div/div[]/div/section/div[]/div,9,0,127,255.0,269.79998779296875,9,2,0,0,55,0,0,0,0,0,False
12,/html/body/div[8]/div/div[3]/div/section/div[2]/div/div[1],/html/body/div[]/div/div[]/div/section/div[]/div/div[],10,0,127,200.0,269.79998779296875,5,1,0,0,0,0,0,0,0,0,False
13,/html/body/div[8]/div/div[3]/div/section/div[2]/div/div[1]/div,/html/body/div[]/div/div[]/div/section/div[]/div/div[]/div,11,0,127,200.0,269.79998779296875,4,1,0,0,0,0,0,0,0,0,False
14,/html/body/div[8]/div/div[3]/div/section/div[2]/div/div[1]/div/div,/html/body/div[]/div/div[]/div/section/div[]/div/div[]/div/div,12,0,127,200.0,269.79998779296875,1,1,0,0,0,0,0,0,0,0,False
15,/html/body/div[8]/div/div[4],/html/body/div[]/div/div[],5,337,127,5947.0,1011.75,1754,1,0,10,0,10,0,0,0,0,False
16,/html/body/div[8]/div/div[4]/div,/html/body/div[]/div/div[]/div,6,347,127,5947.0,991.75,1753,1,0,0,0,0,0,0,0,0,False
17,/html/body/div[8]/div/div[4]/div/div[1],/html/body/div[]/div/div[]/div/div[],7,347,127,5791.0,826.4500122070312,1737,1,0,10,0,0,0,0,0,0,False
18,/html/body/div[8]/div/div[4]/div/div[1]/div[2],/html/body/div[]/div/div[]/div/div[]/div[],8,347,127,5791.0,816.4500122070312,1735,1,0,12.3077,0,0,0,0,0,0,False
19,/html/body/div[8]/div/div[4]/div/div[1]/div[2]/section/div[2],/html/body/div[]/div/div[]/div/div[]/div[]/section/div[],10,347,189,5629.0,804.1500244140625,1709,0,0,0,0,0,0,0,0,0,False
20,/html/body/div[8]/div/div[4]/div/div[1]/div[2]/section/div[2]/div[2],/html/body/div[]/div/div[]/div/div[]/div[]/section/div[]/div[],11,347,270,5548.0,804.1500244140625,1685,2,0,0,0,0,0,0,0,0,False
21,/html/body/div[8]/div/div[4]/div/div[1]/div[2]/section/div[2]/div[2]/div[2],/html/body/div[]/div/div[]/div/div[]/div[]/section/div[]/div[]/div[],12,347,270,5548.0,804.1500244140625,1680,2,0,0,0,0,0,0,0,0,False
